id;day_time;function_key;access_code;access_name;terminal_no;terminal_name;card_no;card_type;emp_no;visitor_book_id;card_holder;reply_display;reply_ac_server;control_time_sec;total_time_sec;log_status;access_no
1;2020-12-13T12:26:00;Int;2352;Handmade Mali Trinidad and Tobago;Mada;ROI;cross-platform;A;9513;31640;strategize Ergonomic Licensed Fresh Keyboard;Granite Berkshire Configuration;Investment Account;68310;77928;19704;16402
2;2020-12-12T19:26:12;For;25516;Nepalese Rupee Avon extensible;Open;Refined Metal Hat;Clothing;C;95270;59477;Borders Granite;navigate Georgia;Hat blue;59421;2854;85507;34520
3;2020-12-12T20:49:17;hum;63748;Sports;homo;Borders wireless Grocery;Automotive Forward;F;13617;86348;evolve;Hong Kong quantify;Manager upward-trending Security;89456;76113;99075;45249
4;2020-12-12T18:42:54;ban;10299;iterate payment Direct;Jewe;circuit Streets;bypass;C;70366;14882;systematic;monitor program SMS;infomediaries definition relationships;48920;88287;51554;74627
5;2020-12-13T06:36:11;sil;13438;Lead;Euro;Outdoors Berkshire Avon;lime e-markets Forwa;e;33289;58922;archive;brand Berkshire;Savings Account synthesize;50063;17571;70984;65493
6;2020-12-13T14:22:58;Avo;64891;Wooden Saint Pierre and Miquelon Personal Loan Account;with;generating;Hat Developer protoc;J;63014;66594;Cuban Peso Peso Convertible system;Money Market Account interface;Cambridgeshire;25378;18333;81347;43795
7;2020-12-13T01:21:56;Toy;72936;HDD Personal Loan Account;Avon;Branch;Nauru;C;25675;76451;Architect;Burkina Faso parallelism;Open-source virtual;39447;38313;8474;68578
8;2020-12-13T00:05:50;dep;99767;SQL bypass;Refi;hybrid;withdrawal e-markets;t;66852;62734;deposit Inlet Chief;Palladium grow transparent;Towels;59670;41809;25414;42356
9;2020-12-12T21:04:35;Tas;85938;Turkmenistan Handcrafted Concrete Tuna dedicated;bypa;Sausages Sleek Paradigm;Grass-roots;M;47900;13354;navigate grey;XML Program;Berkshire;75872;27589;31089;58553
10;2020-12-13T17:11:38;emp;3711;throughput cyan Auto Loan Account;Cott;explicit;black Producer suppl;T;83238;13846;Crossing indexing unleash;indigo quantifying Group;Mouse Bacon;46030;77655;82209;56273
