id;card_no;type;cancelled;issue_datetime;expire_datetime;card_code;pin_code;timekeeping;biometric_enabled;rd_employee;fingerprint;created;modified;modified_user
1;mobile Grocery;E;false;2020-12-12T22:40:25;2020-12-13T10:38:04;exploit;disintermediate Huma;false;true;false;payment Vermont Sleek Soft Hat;2020-12-12T22:22:43;2020-12-13T12:27:44;turquoise Global
2;Principal Paradigm;V;false;2020-12-12T19:52:59;2020-12-13T10:25:44;Pakistan Rupee Inter;Generic;false;false;true;neural intuitive;2020-12-13T06:20:23;2020-12-13T00:33:33;Somali Shilling optical plum
3;Credit Card Account;w;true;2020-12-13T07:51:09;2020-12-13T03:06:34;value-added innovati;Connecticut;true;true;true;solid state;2020-12-13T00:12:40;2020-12-13T01:13:21;Route
4;Mauritius Rupee;o;false;2020-12-13T02:32:03;2020-12-13T13:07:54;Practical Frozen Piz;Auto Loan Account Sa;true;true;false;backing up architectures;2020-12-12T19:52:47;2020-12-13T02:02:55;SAS
5;calculating;B;false;2020-12-13T16:15:05;2020-12-13T16:05:58;grey XML;Plastic invoice;false;false;true;Officer;2020-12-13T03:22:35;2020-12-12T18:50:41;Mexico didactic
6;microchip gold;O;true;2020-12-13T16:41:42;2020-12-13T11:01:53;Maryland open-source;parse challenge;false;false;true;Handmade Metal Shirt Home Specialist;2020-12-13T06:09:16;2020-12-13T13:49:21;bluetooth Wooden Rubber
7;Azerbaijanian Manat ;s;true;2020-12-12T21:28:48;2020-12-13T02:44:14;Incredible Steel Pan;bypassing;false;true;true;systematic hub Re-contextualized;2020-12-13T02:01:22;2020-12-12T23:03:35;Analyst
8;Senior functionaliti;i;true;2020-12-13T02:00:42;2020-12-13T08:38:36;e-business;user-facing;false;false;false;Generic;2020-12-13T08:44:24;2020-12-12T21:18:36;leverage methodical redefine
9;mobile quantifying;U;false;2020-12-13T16:10:53;2020-12-13T16:23:56;Plastic;bypassing Soft initi;true;false;false;Engineer monitor;2020-12-13T00:28:14;2020-12-13T06:04:36;Soft
10;Consultant Assistant;e;true;2020-12-13T03:47:56;2020-12-13T14:13:52;Fish;Fresh;true;false;false;parsing clicks-and-mortar Computer;2020-12-13T03:50:49;2020-12-12T21:37:17;Tennessee Car
