id;date_year;date_month;date_first;date_last;balancing;total_day;total_hour;ss_day;tax_day;scheduled_day;scheduled_hour;missing_day_reason;salary_hour;salary_gross;salary_ss_company;salary_ss_dif;salary_ss;salary_total;employee_id
1;41082;83950;2020-12-13;2020-12-12;35992;90381;60283;83730;83368;74923;93183;sk;48263;75839;47876;67011;12523;38971;1
2;66015;6898;2020-12-13;2020-12-13;70864;32286;41314;5343;22951;27773;94788;ef;64069;84431;55148;69873;82840;98923;2
3;10238;63716;2020-12-13;2020-12-12;71070;98041;36156;3217;82061;2098;8185;Au;50915;3372;28705;91409;95557;9275;3
4;23680;75746;2020-12-13;2020-12-13;11709;66657;77584;71776;53286;24679;43361;Er;34667;85818;54191;40425;25501;11845;4
5;33105;93718;2020-12-13;2020-12-13;10149;20731;33713;77284;87357;45865;52793;Un;40794;5505;662;33151;36435;70662;5
6;21331;551;2020-12-13;2020-12-13;5044;4404;55593;23851;80155;53077;60897;Bu;70795;79653;72663;74745;87437;66913;6
7;4353;1332;2020-12-13;2020-12-13;92468;19099;39175;6216;29171;75311;39800;pr;76471;38647;7641;15679;42102;74589;7
8;89473;99873;2020-12-13;2020-12-13;33825;54488;58143;69915;3794;14456;28003;fr;41696;20137;61540;74355;65444;85135;8
9;71046;94567;2020-12-13;2020-12-13;75270;11818;88166;50569;78635;19283;76498;Cl;88143;3288;57700;65037;20380;13631;9
10;42585;71902;2020-12-12;2020-12-12;26359;19419;80683;41980;16982;62261;58055;iv;12644;68390;75764;80721;91633;11122;10
